original_seq	label	blocks
chr11-7060088-7060252_CPNE	chr11-7060088-7060252_CPNE_WT;HAND_spacer21-40Scramble4	Ax20-40,B,C,D,E,F,G
chr11-7060088-7060252_CPNE	chr11-7060088-7060252_CPNE_WT;HAND_spacer31-50Scramble1	Ax30-50,B,C,D,E,F,G
chr11-7060088-7060252_CPNE	chr11-7060088-7060252_CPNE_WT;HAND_spacer31-50Scramble3	Ax30-50,B,C,D,E,F,G
chr11-7060088-7060252_CPNE	chr11-7060088-7060252_CPNE_WT;HAND_spacer31-50Scramble5	Ax30-50,B,C,D,E,F,G
chr11-7060088-7060252_CPNE	chr11-7060088-7060252_CPNE_WT;HAND_spacer39-58Scramble2	Ax38-58,B,C,D,E,F,G
chr11-7060088-7060252_CPNE	chr11-7060088-7060252_CPNE_WT;HAND_spacer39-58Scramble4	Ax38-58,B,C,D,E,F,G
chr11-7060088-7060252_CPNE	chr11-7060088-7060252_CPNE_WT;HAND_spacer90-109Scramble1	A,B,C,D,Ex89-98,Fx98-108,Gx108-109
chr11-7060088-7060252_CPNE	chr11-7060088-7060252_CPNE_WT;HAND_spacer90-109Scramble3	A,B,C,D,Ex89-98,Fx98-108,Gx108-109
chr11-7060088-7060252_CPNE	chr11-7060088-7060252_CPNE_WT;HAND_spacer90-109Scramble5	A,B,C,D,Ex89-98,Fx98-108,Gx108-109
chr11-7060088-7060252_CPNE	chr11-7060088-7060252_CPNE_WT;HAND_spacer90-164Scramble1	A,B,C,D,Ex89-98,Fx98-108,Gx108-164
chr11-7060088-7060252_CPNE	chr11-7060088-7060252_CPNE_WT;HAND_spacer90-164Scramble3	A,B,C,D,Ex89-98,Fx98-108,Gx108-164
chr11-7060088-7060252_CPNE	chr11-7060088-7060252_CPNE_WT;HAND_spacer90-164Scramble5	A,B,C,D,Ex89-98,Fx98-108,Gx108-164
chr11-7060088-7060252_CPNE	chr11-7060088-7060252_CPNE_WT;HAND_swapA	a,B,C,D,E,F,G
chr11-7060088-7060252_CPNE	chr11-7060088-7060252_CPNE_WT;HAND_swapAC	a,B,c,D,E,F,G
chr11-7060088-7060252_CPNE	chr11-7060088-7060252_CPNE_WT;HAND_swapACE	a,B,c,D,e,F,G
chr11-7060088-7060252_CPNE	chr11-7060088-7060252_CPNE_WT;HAND_swapACG	a,B,c,D,E,F,g
chr11-7060088-7060252_CPNE	chr11-7060088-7060252_CPNE_WT;HAND_swapAE	a,B,C,D,e,F,G
chr11-7060088-7060252_CPNE	chr11-7060088-7060252_CPNE_WT;HAND_swapAEG	a,B,C,D,e,F,g
chr11-7060088-7060252_CPNE	chr11-7060088-7060252_CPNE_WT;HAND_swapAG	a,B,C,D,E,F,g
chr11-7060088-7060252_CPNE	chr11-7060088-7060252_CPNE_WT;HAND_swapBF	A,b,C,D,E,f,G
chr11-7060088-7060252_CPNE	chr11-7060088-7060252_CPNE_WT;HAND_swapC	A,B,c,D,E,F,G
chr11-7060088-7060252_CPNE	chr11-7060088-7060252_CPNE_WT;HAND_swapCE	A,B,c,D,e,F,G
chr11-7060088-7060252_CPNE	chr11-7060088-7060252_CPNE_WT;HAND_swapCG	A,B,c,D,E,F,g
chr11-7060088-7060252_CPNE	chr11-7060088-7060252_CPNE_WT;HAND_swapD	A,B,C,d,E,F,G
chr11-7060088-7060252_CPNE	chr11-7060088-7060252_CPNE_WT;HAND_swapE	A,B,C,D,e,F,G
chr11-7060088-7060252_CPNE	chr11-7060088-7060252_CPNE_WT;HAND_swapEG	A,B,C,D,e,F,g
chr11-7060088-7060252_CPNE	chr11-7060088-7060252_CPNE_WT;HAND_swapG	A,B,C,D,E,F,g
chr3-100833974-100834138_CPPN	chr3-100833974-100834138_CPPN_WT;HAND_moveBF-swapBD	a,B,c,D,e,b,g
chr3-100833974-100834138_CPPN	chr3-100833974-100834138_CPPN_WT;HAND_otherRearranged-swapDF	a,b,c,D,e,B,g
chr3-100833974-100834138_CPPN	chr3-100833974-100834138_CPPN_WT;HAND_swapBFD	a,B,c,D,e,F,g
chr11-7060088-7060252_CPNE	chr11-7060088-7060252_CPNE_WT	A,B,C,D,E,F,G
chr3-100833974-100834138_CPPN	chr3-100833974-100834138_CPPN_WT	a,b,c,d,e,f,g
chr1-171232848-171233012_CPPE	chr1-171232848-171233012_CPPE_WT;HAND_79dCRX-F	A,B,C,Dx75-89,E
chr1-171232848-171233012_CPPE	chr1-171232848-171233012_CPPE_WT;HAND_23dCRX-F	A,Bx19-33,C,D,E
chr1-171232848-171233012_CPPE	chr1-171232848-171233012_CPPE_WT;HAND_23dCRX-F,79dCRX-F	A,Bx19-33,C,Dx75-89,E
chr1-171232848-171233012_CPPE	chr1-171232848-171233012_CPPE_WT;HAND_23dCRX-F,79dCRX-F_v2	A,Bx19-33,C,Dx75-89,E
chr1-171232848-171233012_CPPE	chr1-171232848-171233012_CPPE_WT;HAND_23dCRX-F_v2	A,Bx19-33,C,D,E
chr1-171232848-171233012_CPPE	chr1-171232848-171233012_CPPE_WT;HAND_79dCRX-F_v3	A,B,C,Dx75-89,E
chr1-171232848-171233012_CPPE	chr1-171232848-171233012_CPPE_WT;HAND_moveBb-swapBD	A,br25-30:17-25,C,d,E
chr1-171232848-171233012_CPPE	chr1-171232848-171233012_CPPE_WT;HAND_spacer1-19Scramble1	Ax0-17,Bx17-19,C,D,E
chr1-171232848-171233012_CPPE	chr1-171232848-171233012_CPPE_WT;HAND_spacer1-19Scramble3	Ax0-17,Bx17-19,C,D,E
chr1-171232848-171233012_CPPE	chr1-171232848-171233012_CPPE_WT;HAND_spacer1-19Scramble5	Ax0-17,Bx17-19,C,D,E
chr1-171232848-171233012_CPPE	chr1-171232848-171233012_CPPE_WT;HAND_spacer100-119Scramble1	A,B,C,D,Ex99-119
chr1-171232848-171233012_CPPE	chr1-171232848-171233012_CPPE_WT;HAND_spacer100-119Scramble3	A,B,C,D,Ex99-119
chr1-171232848-171233012_CPPE	chr1-171232848-171233012_CPPE_WT;HAND_spacer100-119Scramble5	A,B,C,D,Ex99-119
chr1-171232848-171233012_CPPE	chr1-171232848-171233012_CPPE_WT;HAND_spacer110-129Scramble2	A,B,C,D,Ex109-129
chr1-171232848-171233012_CPPE	chr1-171232848-171233012_CPPE_WT;HAND_spacer110-129Scramble4	A,B,C,D,Ex109-129
chr1-171232848-171233012_CPPE	chr1-171232848-171233012_CPPE_WT;HAND_spacer120-139Scramble1	A,B,C,D,Ex119-139
chr1-171232848-171233012_CPPE	chr1-171232848-171233012_CPPE_WT;HAND_spacer120-139Scramble3	A,B,C,D,Ex119-139
chr1-171232848-171233012_CPPE	chr1-171232848-171233012_CPPE_WT;HAND_spacer120-139Scramble5	A,B,C,D,Ex119-139
chr1-171232848-171233012_CPPE	chr1-171232848-171233012_CPPE_WT;HAND_spacer130-149Scramble2	A,B,C,D,Ex129-149
chr1-171232848-171233012_CPPE	chr1-171232848-171233012_CPPE_WT;HAND_spacer130-149Scramble4	A,B,C,D,Ex129-149
chr1-171232848-171233012_CPPE	chr1-171232848-171233012_CPPE_WT;HAND_spacer140-159Scramble1	A,B,C,D,Ex139-159
chr1-171232848-171233012_CPPE	chr1-171232848-171233012_CPPE_WT;HAND_spacer140-159Scramble3	A,B,C,D,Ex139-159
chr1-171232848-171233012_CPPE	chr1-171232848-171233012_CPPE_WT;HAND_spacer140-159Scramble5	A,B,C,D,Ex139-159
chr1-171232848-171233012_CPPE	chr1-171232848-171233012_CPPE_WT;HAND_spacer145-164Scramble2	A,B,C,D,Ex144-164
chr1-171232848-171233012_CPPE	chr1-171232848-171233012_CPPE_WT;HAND_spacer145-164Scramble4	A,B,C,D,Ex144-164
chr1-171232848-171233012_CPPE	chr1-171232848-171233012_CPPE_WT;HAND_spacer34-53Scramble2	A,B,Cx33-53,D,E
chr1-171232848-171233012_CPPE	chr1-171232848-171233012_CPPE_WT;HAND_spacer34-53Scramble4	A,B,Cx33-53,D,E
chr1-171232848-171233012_CPPE	chr1-171232848-171233012_CPPE_WT;HAND_spacer34-75Scramble2	A,B,Cx33-75,D,E
chr1-171232848-171233012_CPPE	chr1-171232848-171233012_CPPE_WT;HAND_spacer34-75Scramble4	A,B,Cx33-75,D,E
chr1-171232848-171233012_CPPE	chr1-171232848-171233012_CPPE_WT;HAND_spacer44-63Scramble1	A,B,Cx43-63,D,E
chr1-171232848-171233012_CPPE	chr1-171232848-171233012_CPPE_WT;HAND_spacer44-63Scramble3	A,B,Cx43-63,D,E
chr1-171232848-171233012_CPPE	chr1-171232848-171233012_CPPE_WT;HAND_spacer44-63Scramble5	A,B,Cx43-63,D,E
chr1-171232848-171233012_CPPE	chr1-171232848-171233012_CPPE_WT;HAND_spacer54-73Scramble2	A,B,Cx53-73,D,E
chr1-171232848-171233012_CPPE	chr1-171232848-171233012_CPPE_WT;HAND_spacer54-73Scramble4	A,B,Cx53-73,D,E
chr1-171232848-171233012_CPPE	chr1-171232848-171233012_CPPE_WT;HAND_spacer56-75Scramble1	A,B,Cx55-75,D,E
chr1-171232848-171233012_CPPE	chr1-171232848-171233012_CPPE_WT;HAND_spacer56-75Scramble3	A,B,Cx55-75,D,E
chr1-171232848-171233012_CPPE	chr1-171232848-171233012_CPPE_WT;HAND_spacer56-75Scramble5	A,B,Cx55-75,D,E
chr1-171232848-171233012_CPPE	chr1-171232848-171233012_CPPE_WT;HAND_spacer90-109Scramble2	A,B,C,D,Ex89-109
chr1-171232848-171233012_CPPE	chr1-171232848-171233012_CPPE_WT;HAND_spacer90-109Scramble4	A,B,C,D,Ex89-109
chr1-171232848-171233012_CPPE	chr1-171232848-171233012_CPPE_WT;HAND_spacer90-164Scramble1	A,B,C,D,Ex89-164
chr1-171232848-171233012_CPPE	chr1-171232848-171233012_CPPE_WT;HAND_spacer90-164Scramble3	A,B,C,D,Ex89-164
chr7-92807323-92807487_UPPE	chr7-92807323-92807487_UPPE_WT;HAND_moveBb	a,br25-30:17-25,c,d,e
chr7-92807323-92807487_UPPE	chr7-92807323-92807487_UPPE_WT;HAND_moveBb-swapA	A,br25-30:17-25,c,d,e
chr7-92807323-92807487_UPPE	chr7-92807323-92807487_UPPE_WT;HAND_moveBb-swapAC	A,br25-30:17-25,C,d,e
chr7-92807323-92807487_UPPE	chr7-92807323-92807487_UPPE_WT;HAND_moveBb-swapAE	A,br25-30:17-25,c,d,E
chr7-92807323-92807487_UPPE	chr7-92807323-92807487_UPPE_WT;HAND_moveBb-swapB	a,Br22-30:17-22,c,d,e
chr7-92807323-92807487_UPPE	chr7-92807323-92807487_UPPE_WT;HAND_moveBb-swapC	a,br25-30:17-25,C,d,e
chr7-92807323-92807487_UPPE	chr7-92807323-92807487_UPPE_WT;HAND_moveBb-swapCE	a,br25-30:17-25,C,d,E
chr7-92807323-92807487_UPPE	chr7-92807323-92807487_UPPE_WT;HAND_moveBb-swapD	a,br25-30:17-25,c,D,e
chr7-92807323-92807487_UPPE	chr7-92807323-92807487_UPPE_WT;HAND_moveBb-swapE	a,br25-30:17-25,c,d,E
chr1-171232848-171233012_CPPE	chr1-171232848-171233012_CPPE_WT;HAND_23dCRX-F,79dCRX-F_v3	A,Bx19-33,C,Dx75-89,E
chr1-171232848-171233012_CPPE	chr1-171232848-171233012_CPPE_WT;HAND_23dCRX-F_v3	A,Bx19-33,C,D,E
chr1-171232848-171233012_CPPE	chr1-171232848-171233012_CPPE_WT;HAND_79dCRX-F_v2	A,B,C,Dx75-89,E
chr1-171232848-171233012_CPPE	chr1-171232848-171233012_CPPE_WT;HAND_moveBb	A,Br22-30:17-22,C,D,E
chr1-171232848-171233012_CPPE	chr1-171232848-171233012_CPPE_WT;HAND_moveBb-swapA	a,Br22-30:17-22,C,D,E
chr1-171232848-171233012_CPPE	chr1-171232848-171233012_CPPE_WT;HAND_moveBb-swapAC	a,Br22-30:17-22,c,D,E
chr1-171232848-171233012_CPPE	chr1-171232848-171233012_CPPE_WT;HAND_moveBb-swapAE	a,Br22-30:17-22,C,D,e
chr1-171232848-171233012_CPPE	chr1-171232848-171233012_CPPE_WT;HAND_moveBb-swapB	A,br25-30:17-25,C,D,E
chr1-171232848-171233012_CPPE	chr1-171232848-171233012_CPPE_WT;HAND_moveBb-swapC	A,Br22-30:17-22,c,D,E
chr1-171232848-171233012_CPPE	chr1-171232848-171233012_CPPE_WT;HAND_moveBb-swapCE	A,Br22-30:17-22,c,D,e
chr1-171232848-171233012_CPPE	chr1-171232848-171233012_CPPE_WT;HAND_moveBb-swapD	A,Br22-30:17-22,C,d,E
chr1-171232848-171233012_CPPE	chr1-171232848-171233012_CPPE_WT;HAND_moveBb-swapE	A,Br22-30:17-22,C,D,e
chr1-171232848-171233012_CPPE	chr1-171232848-171233012_CPPE_WT;HAND_spacer1-19Scramble2	Ax0-17,Bx17-19,C,D,E
chr1-171232848-171233012_CPPE	chr1-171232848-171233012_CPPE_WT;HAND_spacer1-19Scramble4	Ax0-17,Bx17-19,C,D,E
chr1-171232848-171233012_CPPE	chr1-171232848-171233012_CPPE_WT;HAND_spacer100-119Scramble2	A,B,C,D,Ex99-119
chr1-171232848-171233012_CPPE	chr1-171232848-171233012_CPPE_WT;HAND_spacer100-119Scramble4	A,B,C,D,Ex99-119
chr1-171232848-171233012_CPPE	chr1-171232848-171233012_CPPE_WT;HAND_spacer110-129Scramble1	A,B,C,D,Ex109-129
chr1-171232848-171233012_CPPE	chr1-171232848-171233012_CPPE_WT;HAND_spacer110-129Scramble3	A,B,C,D,Ex109-129
chr1-171232848-171233012_CPPE	chr1-171232848-171233012_CPPE_WT;HAND_spacer110-129Scramble5	A,B,C,D,Ex109-129
chr1-171232848-171233012_CPPE	chr1-171232848-171233012_CPPE_WT;HAND_spacer120-139Scramble2	A,B,C,D,Ex119-139
chr1-171232848-171233012_CPPE	chr1-171232848-171233012_CPPE_WT;HAND_spacer120-139Scramble4	A,B,C,D,Ex119-139
chr1-171232848-171233012_CPPE	chr1-171232848-171233012_CPPE_WT;HAND_spacer130-149Scramble1	A,B,C,D,Ex129-149
chr1-171232848-171233012_CPPE	chr1-171232848-171233012_CPPE_WT;HAND_spacer130-149Scramble3	A,B,C,D,Ex129-149
chr1-171232848-171233012_CPPE	chr1-171232848-171233012_CPPE_WT;HAND_spacer130-149Scramble5	A,B,C,D,Ex129-149
chr1-171232848-171233012_CPPE	chr1-171232848-171233012_CPPE_WT;HAND_spacer140-159Scramble2	A,B,C,D,Ex139-159
chr1-171232848-171233012_CPPE	chr1-171232848-171233012_CPPE_WT;HAND_spacer140-159Scramble4	A,B,C,D,Ex139-159
chr1-171232848-171233012_CPPE	chr1-171232848-171233012_CPPE_WT;HAND_spacer145-164Scramble1	A,B,C,D,Ex144-164
chr1-171232848-171233012_CPPE	chr1-171232848-171233012_CPPE_WT;HAND_spacer145-164Scramble3	A,B,C,D,Ex144-164
chr1-171232848-171233012_CPPE	chr1-171232848-171233012_CPPE_WT;HAND_spacer145-164Scramble5	A,B,C,D,Ex144-164
chr1-171232848-171233012_CPPE	chr1-171232848-171233012_CPPE_WT;HAND_spacer34-53Scramble1	A,B,Cx33-53,D,E
chr1-171232848-171233012_CPPE	chr1-171232848-171233012_CPPE_WT;HAND_spacer34-53Scramble3	A,B,Cx33-53,D,E
chr1-171232848-171233012_CPPE	chr1-171232848-171233012_CPPE_WT;HAND_spacer34-53Scramble5	A,B,Cx33-53,D,E
chr1-171232848-171233012_CPPE	chr1-171232848-171233012_CPPE_WT;HAND_spacer34-75Scramble1	A,B,Cx33-75,D,E
